название;тип;адрес;телефон;сайт
Феникс;Частная школа, центр развития ребёнка, детский сад, ясли;Варшавское ш., 141А, корп. 6, Москва;+7 (495) 185-00-43;фениксаннино.москва
Частный детский сад ВинниПух Ясенево;Детский сад, ясли;Вильнюсская ул., 3, корп. 1, Москва;+7 (926) 212-29-49;www.vinnipuhsad.ru.com
Частный детский сад Счастливое детство;Детский сад, ясли, организация и проведение детских праздников, центр развития ребёнка;Трубецкая ул., 56А, Балашиха;+7 (499) 391-37-39;www.happy-kids.club
Частный детский сад English Montessori Kindergarten;Детский сад, ясли, логопеды, центр развития ребёнка;Погонный пр., 3А, корп. 1, Москва;+7 (939) 555-70-39;city-kindergarten.ru
Smile Fish;Детский сад, ясли, центр развития ребёнка;Шмитовский пр., 9/5, Москва;+7 (925) 333-33-10;smilefish.ru
Kinder School;Детский сад, ясли, центр развития ребёнка;Бескудниковский бул., 6, корп. 2, Москва;+7 (919) 964-57-76;www.kinderschooll.ru
Совёнок;Детский сад, ясли, логопеды, центр развития ребёнка;ул. Колпакова, 24, Мытищи;+7 (905) 775-06-27;sowl.ru
Частный детский сад Непоседы;Детский сад, ясли;Триумфальная ул., 1, Одинцово;+7 (985) 275-39-16;neposedy-sad.ru
Baby Dreams;Детский сад, ясли, центр развития ребёнка;Россия, Москва, поселение Внуковское, улица Лётчика Грицевца, 6;+7 (965) 111-44-66;babydreams.msk.ru
Частный детский сад Любопытный Апельсин;Детский сад, ясли, логопеды, центр развития ребёнка;158Б, СНТ Гавриково-1;+7 (904) 567-32-44;l-ap.ru
Частный детский сад и детский центр Оливер;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Говорова, 28, Одинцово;+7 (968) 764-44-61;www.oliverkids.ru
Вaby Teddy;Детский сад, ясли, центр развития ребёнка, дополнительное образование;Узорная ул., 46, д. Покровское;+7 (999) 099-92-02;baby-teddy.club
Smile Fish;Детский сад, ясли, центр развития ребёнка;ул. Константинова, 30, Москва;+7 (925) 333-33-10;smilefish.ru
Baby-Family;Детский сад, ясли, центр развития ребёнка;Беломорская ул., 18А, корп. 2, Москва;+7 (963) 925-53-51;baby-family.ru
Детский сад № 36 РЖД;Детский сад, ясли;1-й Лучевой просек, 12, Москва;+7 (499) 268-62-96;sad36rzhd.mskobr.ru
Частный детский сад Бэби Бум;Детский сад, ясли, логопеды, центр развития ребёнка;ул. Поповка, 30А, микрорайон Салтыковка, Балашиха;+7 (916) 888-98-69;бэбибум.рус
Филиппок;Детский сад, ясли, центр развития ребёнка;Молодёжная ул., 4, посёлок Отрадное;+7 (967) 069-53-94;filipp-ok.ru
Частный детский сад Непоседы;Детский сад, ясли;ул. Маршала Неделина, 7А, Одинцово;+7 (985) 275-39-16;neposedy-sad.ru
Частный детский сад Лидер;Детский сад, ясли, логопеды, центр развития ребёнка;Санаторная ул., 7, посёлок Поведники;+7 (985) 226-98-28;dslider.ru
Теремок;Детский сад, ясли, детский лагерь отдыха, курсы иностранных языков;Школьная ул., 31, село Ям;+7 (915) 433-33-62;deti-teremok.ru
SmartKids;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Родниковая ул., 35, рабочий посёлок Нахабино;+7 (901) 336-35-39;detsad-nahabino.ru
Частный детский сад Обучайка;Детский сад, ясли, логопеды, центр развития ребёнка;Гурьевский пр., 27, корп. 2, Москва;+7 (904) 567-60-41;sadobuchayka.ru
Жар-Птица;Детский сад, ясли, частная школа;ул. Тургенева, 9А, Пушкино;+7 (499) 347-30-51 (доб. 89165554441);fb-sad.ru
Частный детский сад и клуб творческого развития Монморенси;Детский сад, ясли, центр развития ребёнка;124, СНТ Гавриково;+7 (995) 655-77-20;солнышкосадик.рф
The Домик;Детский сад, ясли, центр развития ребёнка, детский лагерь отдыха;181, СНТ Гавриково;+7 (985) 184-28-86;thedomikdetskiysad.wixsite.com
Почемучка;Детский сад, ясли, центр развития ребёнка, дополнительное образование;Московская ул., 2, микрорайон Железнодорожный, Балашиха;+7 (495) 786-26-67;ds-pochemuchka.ru
Дивный сад;Детский сад, ясли, начальная школа, дополнительное образование;Конная ул., 28, д. Падиково;+7 (926) 055-39-25;divniysadik.com
Зеленый Берег;Детский сад, ясли, частная школа;Набережная ул., 10, д. Чиверёво;+7 (926) 597-35-64;greenbereg.ru
Возможность;Частная школа, детский сад, ясли;36, микрорайон Ковровый, Котельники;+7 (495) 559-73-36;www.cior.ru
Ясельки;Детский сад, ясли, логопеды, центр развития ребёнка;Каширское ш., 148, корп. 1, Москва;+7 (977) 801-40-84;yaselki.club
Островок;Детский сад, ясли, логопеды, детский лагерь отдыха;Сиреневый бул., 44А, Москва;+7 (903) 130-30-90;www.ostrovokmsk.ru
Монтессори-усадьба Солнышко;Центр развития ребёнка, детский сад, ясли, частная школа;Адмиральская ул., 20, д. Грибки;+7 (901) 147-70-72;montessorihouse.ru
Частный детский центр Кливия;Детский сад, ясли, центр развития ребёнка;Пионерская ул., 1, Ивантеевка;+7 (925) 060-09-10;кливия.рф
БэмбиК;Детский сад, ясли, учебный центр;Луговая ул., 2, д. Рыбаки, коттеджный посёлок Заповедное Озеро;+7 (926) 990-88-33;www.bembik-sadik.ru
Город Детства;Детский сад, ясли;ул. Рублёвское Предместье, 7, корп. 3, д. Глухово;+7 (985) 996-72-20;www.ostrov-detstva.com
ProГимназия Carden;Детский сад, ясли, центр развития ребёнка, дополнительное образование;Дарьинская ул., 2, микрорайон Опалиха, Красногорск;+7 (499) 991-19-16;progimnazia.ru
Мой Ангел;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Центральная ул., 4, Лобня;+7 (926) 035-24-04;www.b-angel.ru
Частный детский сад Бэби Лидер;Детский сад, ясли, центр развития ребёнка;ул. Липовый Парк, 9, посёлок Коммунарка;+7 (901) 348-58-35;baby-lider.ru
Sun School;Детский сад, ясли;с1, д. Летово, коттеджный посёлок Бельгийская д.;8 (800) 775-60-47;sunschool.ru
Baby Way;Детский сад, ясли, центр развития ребёнка, дополнительное образование;Россия, Москва, поселение Десёновское, Чароитовая улица, 1;+7 (916) 739-60-95;mybabyway.ru
Детский сад Little Person;Детский сад, ясли, центр развития ребёнка, курсы иностранных языков;Старое Дмитровское ш., 15, корп. 2, Долгопрудный;+7 (495) 579-25-99;www.ilovelp.ru
Академкидс;Детский сад, ясли, бассейн, центр развития ребёнка;Россия, Москва, поселение Сосенское, Николо-Хованская улица, 26А;+7 (926) 011-86-91;academkids.ru
Частный детский сад Rainbow;Детский сад, ясли, центр развития ребёнка, дополнительное образование;Сентябрьская ул., 10, дачный посёлок Кокошкино;+7 (499) 938-45-24;частный-детский-сад-кокошкино.рф
Kidschool;Детский сад, ясли, детский лагерь отдыха, частная школа;50, д. Губкино;+7 (985) 310-00-32;www.kidschool.ru
Bambiliani;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Чехова, 1, корп. 1, Пушкино;+7 (916) 792-74-52;bambiliani.ru
Kinder Garden;Детский сад, ясли, центр развития ребёнка;Жулебинский бул., 5, Москва;+7 (910) 431-42-22;kindergarden.moscow
Сеть частных детских садов ''Наши детки'' Преображенская;Детский сад, ясли;Преображенская ул., 13, Люберцы;+7 (499) 211-10-11;нашидетки.рус
Mimi Kids;Детский сад, ясли, домашний персонал, дополнительное образование;Рижская ул., 2А, дачный посёлок Снегири;+7 (901) 147-96-46;ёжики-сад.рф
Наши Детки;Детский сад, ясли, центр развития ребёнка;ул. Авиаторов, 4, корп. 2, 115-й квартал, Люберцы;+7 (499) 211-10-11;нашидетки.рус
Bright Baby;Детский сад, ясли, центр развития ребёнка;Россия, Москва, поселение Сосенское, улица Александры Монаховой, 109, корп. 3;+7 (925) 484-68-78;www.bright-baby.ru
Лучшее время;Детский сад, ясли, центр развития ребёнка;Озёрная ул., 154, микрорайон Золотые Купола, д. Голиково;+7 (495) 743-95-98;umkin.com
Сказочный Садик;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Спортивный пр., 3, корп. 2, д. Зимёнки, коттеджный посёлок Антоновка;+7 (495) 369-90-43;частный-детский-сад-антоновка.рф
Agile Kids;Детский сад, ясли, логопеды, центр развития ребёнка;Россия, Москва, поселение Внуковское, улица Бориса Пастернака, 43;+7 (904) 568-16-91;agile-kids-chastnyj-detskij-sad.ru
ФилиБоНик;Частная школа, детский сад, ясли;Советская ул., 11Б, село Дубки;+7 (916) 421-34-52;www.филибоник.рф
Ягодки First;Детский сад, ясли, центр развития ребёнка, детский лагерь отдыха;31В, д. Ватутинки;+7 (985) 502-44-19;yagodki-sad.ru
Монтессори-сад Стеша;Детский сад, ясли, логопеды, центр развития ребёнка;Россия, Москва, поселение Сосенское, улица Александры Монаховой, 95, корп. 2;+7 (901) 259-89-12;stesha.site
Частный детский сад Glory Kids;Детский сад, ясли, центр развития ребёнка, дополнительное образование;ул. Чистяковой, 58, Одинцово;+7 (499) 350-07-75;glorykids.pro
Sun School;Детский сад, ясли;ул. Карла Либкнехта, 42, рабочий посёлок Малаховка;8 (800) 775-60-47;sunschool.ru
Детская страна;Детский сад, ясли;20, стр. 1, коттеджный посёлок Академия Парк;+7 (915) 147-49-99;akademiyapark.detskaystrana.ru
Частный детский сад Glory Kids;Детский сад, ясли, центр развития ребёнка;Георгиевская ул., 13, микрорайон Град Московский, Московский;+7 (499) 350-07-75;glorykids.pro
Мой садик 2;Детский сад, ясли;Ясеневая ул., 12, корп. 2, Москва;+7 (905) 534-63-40;мой-садик.рф
Sun School;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Адмирала Лазарева, 63, корп. 1, Москва;8 (800) 775-60-47;sunschool.ru
Baby Teddy;Детский сад, ясли, центр развития ребёнка, курсы иностранных языков;Вознесенская ул., 111А, коттеджный посёлок Старый Свет;+7 (999) 099-92-04;baby-teddy.club
Знайка;Детский сад, ясли;Широкая ул., 91, Щёлково;+7 (496) 562-63-46;centerznaika.ru
Детский сад Бублик;Детский сад, ясли, центр развития ребёнка;Набережная ул., 21, корп. 1, Долгопрудный;+7 (985) 338-22-31;sad-bublik.ru
Детский Монтессори центр Крепыш;Детский сад, ясли, центр развития ребёнка;Советская ул., 14, рабочий посёлок Малаховка;+7 (926) 220-35-87;www.mala7.ru
Cosmo Сад;Детский сад, ясли;к354, Зеленоград;+7 (977) 326-41-26;cosmo-cad.ru
Космовенок;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка, детский лагерь отдыха;ул. Добролюбова, 20, Пушкино;+7 (966) 015-48-48;www.kosmovenok.ru
Ми-ми-мишка;Детский сад, ясли, центр развития ребёнка;Автозаводская ул., 6, стр. 1, микрорайон Железнодорожный, Балашиха;+7 (916) 390-92-97;mimimishka.club
Дети дома;Детский сад, ясли;Перовская ул., 38, корп. 3, Москва;+7 (915) 395-74-96;deti-doma77.ru
Детский сад-ясли Лесная сказка;Детский сад, ясли, центр развития ребёнка;ул. Пограничников, 45, микрорайон Валентиновка, Королёв;+7 (495) 220-99-59;www.detsadkorolev.ru
Академия на полянке;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Луговая ул., 17, посёлок Быково;+7 (939) 555-46-10;academ-club.ru
Монтессори Лицей Da Vinci;Частная школа, детский сад, ясли, детский лагерь отдыха;Радужная ул., 295, д. Трубачеевка;+7 (499) 391-97-95;davincischool.ru
Частный детский сад Джем;Детский сад, ясли, центр развития ребёнка;ул. Горького, 24, Фрязино;+7 (926) 651-08-45;justjam.ru
Частный детский сад Гномик;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;ул. Свердлова, 46, Балашиха;+7 (498) 303-93-99;gnomik-detsad.ru
Страна Открытий;Детский сад, ясли, центр развития ребёнка;Петровский пр., 22, район Расторгуево, Видное;+7 (903) 768-30-00;stranavidnoe.ru
AcademKids;Детский сад, ясли, логопеды, центр развития ребёнка;Россия, Москва, поселение Внуковское, бульвар Андрея Тарковского, 5А;+7 (904) 567-35-28;academkids.ru
Дети дома;Детский сад, ясли;Школьная ул., 9, рабочий посёлок Нахабино;+7 (966) 195-52-08;deti-doma77.ru
Мини-сад Yes!;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Россия, Москва, поселение Сосенское, бульвар Веласкеса, 4;+7 (915) 390-57-18;sad-yes.ru
